cliente_id,tenure_meses,plano,mensalidade,contrato,usuarios_ativos,logins_30d,features_usadas,tickets_suporte,nps,atraso_pagamento_dias,desconto_ativo,integracoes_ativas,churn
C00355,5,Enterprise,492.99,Bienal,52,12,16,2,6,1.4,0,5,0
C00356,27,Basic,50.8,Mensal,3,11,2,6,10,2.9,0,1,0
C00357,6,Basic,49.45,Anual,5,16,14,1,7,3.3,0,5,0
C00358,11,Basic,47.7,Mensal,3,7,8,3,5,0.7,0,1,0
C00359,13,Basic,47.6,Anual,1,15,18,1,10,4.9,0,7,0
C00360,5,Basic,50.56,Bienal,1,21,9,0,8,1.1,0,2,0
C00361,11,Enterprise,439.2,Bienal,70,17,10,1,6,2.3,0,0,0
C00362,3,Pro,154.94,Mensal,12,8,9,5,0,2.3,1,1,1
C00363,10,Basic,44.41,Mensal,3,8,13,1,2,1.7,0,4,0
C00364,12,Basic,45.53,Anual,3,15,2,1,10,4.9,0,5,0
C00365,1,Basic,47.74,Anual,5,13,1,4,6,1.1,1,3,0
C00366,6,Basic,54.32,Bienal,2,17,12,3,10,8.6,1,2,0
C00367,16,Pro,161.5,Mensal,8,10,8,1,0,2.4,1,1,1
C00368,5,Basic,50.73,Anual,4,15,4,3,1,1.1,0,0,1
C00369,19,Pro,151.66,Anual,22,21,15,2,1,4.9,0,7,0
C00370,20,Pro,135.13,Mensal,16,9,15,4,1,4.3,1,5,0
C00371,16,Basic,49.38,Mensal,2,14,3,0,3,3.4,1,1,0
C00372,23,Enterprise,485.3,Anual,99,16,4,0,10,0.2,0,1,0
C00373,3,Basic,47.0,Mensal,2,10,15,0,0,0.5,0,4,0
C00374,27,Basic,49.38,Anual,1,14,10,3,10,2.8,0,2,0
C00375,5,Pro,145.49,Mensal,18,4,6,1,0,6.8,0,1,1
C00376,14,Basic,51.13,Mensal,4,8,11,2,0,2.4,1,3,1
C00377,42,Pro,134.58,Mensal,23,11,7,0,0,1.2,0,3,0
C00378,10,Pro,149.56,Bienal,10,10,2,3,8,3.4,0,4,0
C00379,13,Basic,46.85,Anual,3,17,13,2,1,0.1,0,6,0
C00380,5,Pro,145.95,Anual,16,16,14,2,1,2.1,1,2,0
C00381,42,Basic,49.75,Anual,3,21,2,1,9,0.3,1,5,0
C00382,6,Pro,140.68,Mensal,15,6,5,2,7,0.8,0,5,0
C00383,21,Basic,49.4,Bienal,3,9,12,1,3,0.8,0,5,0
C00384,31,Basic,48.48,Mensal,3,14,15,4,8,0.5,0,7,0
C00385,23,Basic,47.38,Mensal,3,10,18,1,9,5.7,0,1,0
C00386,17,Pro,145.49,Mensal,22,8,12,2,5,1.7,1,5,1
C00387,14,Basic,48.62,Mensal,2,8,2,2,9,6.6,0,0,0
C00388,4,Pro,143.28,Anual,13,13,7,1,3,4.9,1,2,1
C00389,40,Basic,49.02,Mensal,2,15,5,2,9,2.9,0,5,0
C00390,16,Basic,48.32,Anual,2,9,19,2,7,4.7,1,7,0
C00391,13,Basic,47.5,Bienal,1,15,1,3,2,1.1,0,0,0
C00392,5,Basic,52.9,Mensal,3,11,8,3,6,0.2,0,5,0
C00393,14,Enterprise,509.36,Mensal,95,9,10,3,3,1.6,0,3,1
C00394,13,Basic,48.06,Anual,2,11,6,3,0,1.0,0,4,0
C00395,42,Pro,150.09,Mensal,14,4,14,0,5,5.3,0,6,0
C00396,13,Pro,141.35,Anual,17,10,3,0,0,1.9,1,6,0
C00397,14,Basic,47.93,Mensal,4,4,18,3,4,1.8,0,3,0
C00398,5,Pro,146.62,Mensal,12,9,8,2,9,2.4,1,7,0
C00399,7,Pro,139.71,Mensal,7,6,7,1,0,0.1,0,3,0
C00400,19,Pro,151.89,Mensal,14,8,18,1,7,1.6,0,1,0
C00401,2,Basic,47.76,Mensal,5,5,3,1,2,1.4,0,7,0
C00402,26,Pro,146.35,Mensal,8,7,9,1,6,0.1,1,2,0
C00403,27,Pro,144.76,Mensal,18,7,1,2,6,0.8,0,7,1
C00404,6,Basic,56.25,Anual,4,14,10,0,8,3.1,0,7,0
C00405,17,Pro,144.06,Mensal,1,5,7,1,7,1.1,0,0,0
C00406,32,Basic,43.93,Mensal,3,12,15,2,2,1.4,0,5,1
C00407,12,Pro,137.08,Mensal,18,11,10,4,4,0.4,0,6,0
C00408,10,Enterprise,517.94,Mensal,71,6,12,3,6,0.1,0,1,1
C00409,11,Enterprise,532.34,Mensal,59,9,18,1,3,0.1,1,3,0
C00410,16,Pro,143.92,Anual,11,14,19,1,9,1.9,0,7,0
C00411,8,Pro,158.53,Mensal,13,14,5,5,6,0.3,0,6,1
C00412,10,Pro,154.52,Anual,13,15,10,3,7,3.0,0,2,0
C00413,16,Basic,48.54,Mensal,2,10,15,3,7,4.5,0,2,0
C00414,9,Basic,48.36,Mensal,2,14,3,0,3,1.5,0,0,0
C00415,5,Basic,49.44,Mensal,4,11,10,2,7,1.5,1,7,0
C00416,2,Basic,51.15,Anual,1,8,11,3,7,0.2,0,7,1
C00417,14,Enterprise,508.91,Bienal,24,17,17,1,8,3.3,1,6,0
C00418,30,Pro,143.96,Mensal,22,11,2,4,3,0.4,0,3,0
C00419,18,Basic,48.57,Bienal,2,10,17,2,6,1.2,1,3,0
C00420,5,Basic,53.85,Mensal,2,7,5,3,9,0.5,0,3,0
C00421,7,Pro,150.87,Mensal,14,8,17,1,4,0.2,0,2,0
C00422,10,Basic,51.13,Anual,3,10,13,2,9,4.9,0,0,0
C00423,43,Pro,153.02,Mensal,11,6,8,1,3,3.2,1,1,0
C00424,44,Enterprise,505.82,Mensal,96,9,3,0,1,0.2,0,4,0
C00425,41,Basic,49.27,Mensal,1,13,7,3,0,1.7,0,2,0
C00426,15,Basic,51.2,Anual,2,9,15,2,5,0.4,0,1,0
C00427,72,Basic,50.76,Mensal,1,5,4,5,4,0.2,0,3,0
C00428,7,Basic,49.65,Anual,4,15,13,2,2,0.1,0,6,0
C00429,10,Basic,47.3,Mensal,2,7,5,2,9,0.9,1,2,0
C00430,25,Basic,49.94,Bienal,3,12,2,1,9,3.6,0,6,0
C00431,16,Basic,48.84,Mensal,3,7,12,2,6,4.2,0,5,0
C00432,17,Basic,48.24,Anual,3,14,16,2,8,4.5,0,2,0
C00433,6,Basic,55.56,Mensal,2,10,19,3,6,1.6,0,5,0
C00434,13,Pro,137.53,Mensal,17,8,10,2,7,2.4,0,4,0
C00435,7,Basic,51.35,Mensal,1,10,12,1,2,0.2,0,1,1
C00436,4,Pro,142.57,Anual,7,14,13,1,0,1.2,0,3,0
C00437,8,Basic,49.32,Mensal,2,7,8,3,6,1.8,0,2,0
C00438,16,Basic,55.29,Mensal,2,7,1,1,1,0.2,0,4,0
C00439,22,Basic,46.64,Bienal,4,19,5,1,1,1.5,0,0,0
C00440,2,Pro,143.61,Mensal,17,4,8,1,5,6.5,0,0,0
C00441,13,Basic,48.96,Mensal,2,12,13,1,3,1.7,0,3,0
C00442,12,Basic,46.92,Mensal,2,2,6,1,4,3.6,0,4,1
C00443,16,Basic,51.17,Mensal,3,9,5,2,6,0.5,0,3,0
C00444,5,Enterprise,485.66,Mensal,77,7,18,2,9,1.3,0,0,0
C00445,5,Basic,50.6,Anual,3,8,2,1,0,1.5,1,0,1
C00446,31,Basic,45.74,Mensal,3,6,15,3,3,0.2,0,0,0
C00447,6,Pro,135.54,Mensal,6,6,2,2,3,2.6,1,0,0
C00448,10,Basic,48.44,Anual,1,13,7,2,2,3.5,0,6,0
C00449,10,Basic,45.16,Mensal,2,9,17,0,0,1.4,0,2,0
C00450,7,Pro,160.31,Mensal,18,8,16,4,2,0.3,1,6,0
C00451,19,Basic,45.25,Bienal,2,13,8,5,1,0.7,0,3,0
C00452,18,Basic,46.46,Mensal,4,8,1,6,9,0.8,0,7,0
C00453,12,Basic,50.01,Mensal,2,9,18,2,3,2.1,0,7,0
C00454,8,Basic,47.56,Anual,4,16,17,1,3,0.2,0,4,0
C00455,11,Enterprise,461.12,Anual,116,25,10,3,7,0.9,0,7,0
C00456,14,Pro,164.2,Anual,21,18,1,0,6,0.9,0,3,0
C00457,7,Pro,141.54,Anual,7,18,14,4,2,0.3,1,3,0
C00458,20,Basic,48.52,Mensal,3,5,15,6,3,0.0,1,0,1
C00459,26,Pro,147.44,Mensal,22,7,16,3,0,3.7,1,4,0
C00460,34,Pro,154.29,Anual,16,16,14,2,2,0.5,0,5,0
C00461,33,Basic,50.13,Anual,3,19,17,1,4,0.6,1,4,0
C00462,10,Pro,142.84,Anual,6,25,10,3,4,0.8,1,1,0
C00463,15,Pro,146.57,Mensal,26,13,4,5,2,0.2,0,2,1
C00464,12,Pro,147.31,Anual,10,14,14,1,9,2.9,0,2,0
C00465,12,Basic,50.83,Mensal,1,13,5,1,8,0.3,0,6,0
C00466,11,Basic,46.14,Mensal,2,10,12,3,4,1.4,1,1,1
C00467,13,Pro,164.03,Mensal,1,4,3,2,9,0.8,0,2,1
C00468,29,Pro,143.34,Mensal,8,7,1,0,3,0.9,0,2,0
C00469,17,Basic,48.98,Anual,6,13,9,3,7,0.8,0,3,0
C00470,5,Basic,46.16,Mensal,2,10,12,0,8,0.2,1,2,0
C00471,26,Pro,139.33,Anual,6,21,3,0,6,1.6,0,7,0
C00472,16,Basic,46.86,Mensal,3,8,15,1,3,1.2,1,4,0
C00473,19,Basic,46.62,Mensal,1,6,13,2,8,3.6,0,2,0
C00474,17,Pro,145.91,Mensal,20,7,16,1,1,0.9,1,2,1
C00475,17,Basic,46.6,Mensal,1,13,7,1,4,4.1,0,4,0
C00476,18,Basic,50.7,Anual,3,16,13,2,9,0.5,0,2,0
C00477,2,Basic,47.08,Mensal,1,9,19,0,7,0.9,1,6,0
C00478,19,Enterprise,476.7,Mensal,163,7,4,4,3,0.4,0,0,1
C00479,7,Basic,48.04,Mensal,3,8,16,2,4,0.4,0,2,1
C00480,9,Pro,156.4,Mensal,14,9,12,1,4,2.2,0,3,1
C00481,13,Enterprise,504.36,Mensal,70,7,14,3,4,1.2,0,7,0
C00482,38,Pro,148.26,Bienal,11,20,12,2,2,0.6,0,2,0
C00483,5,Basic,45.49,Mensal,2,9,14,2,8,5.7,0,1,0
C00484,13,Basic,46.2,Mensal,2,10,15,7,0,1.6,0,3,1
C00485,11,Basic,45.87,Anual,5,21,1,2,8,4.5,1,5,0
C00486,25,Pro,158.74,Anual,11,12,1,1,6,6.0,1,7,0
C00487,11,Enterprise,512.24,Mensal,11,8,2,0,4,1.9,1,0,0
C00488,16,Pro,142.58,Anual,8,13,18,1,8,0.1,1,5,0
C00489,5,Basic,47.62,Bienal,4,25,9,4,10,3.0,0,4,0
C00490,28,Basic,46.98,Mensal,2,17,19,0,4,5.6,0,2,0
C00491,3,Pro,142.4,Mensal,14,8,18,2,5,2.1,0,1,1
C00492,19,Basic,50.13,Anual,4,13,7,2,4,0.2,1,5,0
C00493,16,Pro,146.86,Anual,10,8,2,1,5,3.0,0,5,0
C00494,18,Basic,54.1,Bienal,3,16,17,2,3,2.6,0,1,0
C00495,3,Pro,158.32,Mensal,10,7,8,1,5,0.4,0,4,1
C00496,10,Pro,158.76,Bienal,18,10,6,4,0,0.5,1,4,0
C00497,24,Basic,50.64,Mensal,2,11,16,4,8,1.2,0,3,0
C00498,42,Basic,47.96,Anual,2,14,10,2,1,0.1,0,4,0
C00499,12,Pro,153.45,Anual,19,12,7,2,10,0.7,0,7,0
C00500,23,Basic,48.15,Mensal,3,9,8,2,4,3.7,0,3,0
C00501,15,Basic,52.99,Mensal,2,7,18,2,7,2.4,0,7,0
C00502,13,Basic,49.99,Mensal,2,11,6,2,0,3.5,0,0,1
C00503,9,Basic,49.64,Anual,4,19,18,0,3,1.7,0,5,0
C00504,13,Pro,149.95,Mensal,18,6,12,2,10,0.1,0,5,0
C00505,22,Basic,53.26,Anual,2,14,2,4,5,0.9,0,5,0
C00506,23,Basic,45.49,Mensal,2,5,3,1,4,1.0,1,2,0
C00507,4,Pro,162.7,Mensal,21,8,12,3,3,4.2,1,0,1
C00508,9,Basic,48.54,Mensal,3,6,3,3,7,0.4,0,0,0
C00509,5,Basic,45.55,Bienal,2,20,3,2,7,1.0,0,2,0
C00510,14,Pro,143.4,Mensal,15,7,9,2,5,0.1,0,0,1
C00511,10,Pro,136.7,Mensal,17,8,9,2,10,1.3,0,1,0
C00512,17,Pro,153.87,Mensal,14,11,18,2,6,7.4,0,0,1
C00513,18,Pro,141.26,Bienal,22,15,18,0,9,0.5,0,3,0
C00514,1,Basic,49.41,Anual,4,14,18,4,5,1.1,0,7,0
C00515,13,Basic,51.78,Mensal,3,5,2,3,5,0.0,0,0,0
C00516,30,Enterprise,482.23,Mensal,123,11,16,1,6,2.1,0,2,0
C00517,9,Pro,147.0,Mensal,15,9,18,4,3,0.9,0,2,1
C00518,9,Pro,139.29,Mensal,19,11,12,3,8,1.6,0,3,0
C00519,26,Basic,48.05,Anual,4,13,19,1,4,1.1,0,4,0
C00520,24,Basic,55.31,Mensal,4,9,16,2,2,1.8,0,7,0
C00521,6,Basic,50.91,Mensal,4,8,13,2,3,0.6,0,1,0
C00522,22,Pro,147.03,Anual,18,20,8,2,3,0.8,0,2,0
C00523,7,Pro,144.44,Mensal,26,2,7,0,10,0.3,0,0,0
C00524,9,Basic,48.9,Mensal,2,5,8,1,3,1.3,1,0,1
C00525,6,Basic,49.32,Mensal,2,13,5,3,2,11.5,0,5,0
C00526,4,Basic,47.97,Mensal,2,8,11,3,7,3.4,0,2,0
C00527,14,Basic,50.3,Anual,2,14,9,1,8,0.8,0,1,0
C00528,4,Pro,141.9,Mensal,3,2,6,0,4,1.6,0,3,0
C00529,15,Pro,141.86,Mensal,23,14,4,3,4,0.5,0,3,1
C00530,15,Basic,49.91,Mensal,1,11,10,0,6,4.4,0,3,0
C00531,12,Pro,140.29,Anual,16,11,1,0,7,0.2,0,6,0
C00532,9,Enterprise,517.19,Mensal,34,7,8,2,1,1.6,0,5,0
C00533,8,Basic,48.97,Mensal,3,7,2,1,10,0.7,0,3,0
C00534,5,Basic,44.52,Mensal,2,4,7,2,4,2.2,0,1,1
C00535,35,Basic,49.27,Mensal,1,3,13,3,6,0.8,0,0,0
C00536,11,Basic,44.87,Mensal,3,15,13,2,0,1.5,0,5,0
C00537,11,Basic,50.7,Mensal,2,6,1,0,6,0.4,1,6,0
C00538,6,Pro,147.15,Anual,11,12,14,3,1,0.9,0,5,0
C00539,32,Basic,53.54,Mensal,3,9,6,0,0,3.8,0,5,0
C00540,8,Basic,51.62,Anual,3,19,10,4,10,0.6,0,5,0
C00541,16,Pro,141.1,Mensal,10,11,13,3,1,2.1,1,4,0
C00542,18,Basic,44.05,Mensal,1,11,1,2,8,2.8,0,7,0
C00543,15,Pro,143.37,Mensal,15,8,4,3,5,11.5,0,4,1
C00544,3,Pro,139.9,Mensal,18,8,4,1,2,1.6,0,7,0
C00545,21,Pro,162.6,Anual,23,17,7,5,4,3.8,1,6,0
C00546,8,Pro,148.92,Anual,8,14,1,4,1,0.8,0,3,1
C00547,23,Pro,155.95,Anual,13,10,1,4,6,3.1,0,2,0
C00548,13,Pro,146.88,Mensal,22,9,10,2,9,1.3,0,1,0
C00549,19,Basic,48.56,Anual,5,13,3,4,4,0.3,0,2,0
C00550,31,Basic,48.92,Mensal,1,8,9,2,10,3.1,0,4,0
C00551,21,Basic,51.71,Mensal,2,4,5,2,1,0.2,0,5,1
C00552,19,Basic,49.76,Mensal,3,10,19,3,10,3.9,0,6,0
C00553,22,Basic,46.41,Mensal,2,7,3,4,8,0.5,1,1,1
C00554,7,Basic,52.98,Anual,2,23,10,1,0,4.4,0,1,0
C00555,24,Basic,48.28,Anual,3,11,9,0,9,5.5,0,5,0
C00556,11,Basic,47.88,Mensal,4,6,15,2,0,0.7,0,0,0
C00557,11,Basic,42.07,Mensal,1,4,3,3,10,1.3,0,6,0
C00558,14,Pro,153.73,Anual,23,11,19,2,7,0.0,0,1,0
C00559,10,Pro,149.75,Bienal,11,19,6,2,2,0.6,1,4,0
C00560,6,Pro,149.74,Anual,17,10,1,3,10,1.5,0,0,0
C00561,13,Basic,48.01,Mensal,4,4,14,4,3,0.5,0,0,0
C00562,11,Pro,144.71,Mensal,16,7,11,5,1,0.9,0,7,0
C00563,11,Pro,146.25,Anual,13,15,13,2,3,3.0,1,5,1
C00564,12,Basic,50.13,Mensal,3,9,18,1,9,0.2,0,7,0
C00565,1,Enterprise,514.95,Bienal,74,17,8,5,10,7.4,0,6,0
C00566,11,Basic,48.43,Bienal,3,11,18,3,10,4.0,0,7,0
C00567,33,Pro,156.07,Bienal,13,8,18,2,6,0.0,0,1,0
C00568,32,Pro,148.41,Mensal,20,7,11,1,2,4.7,1,5,0
C00569,14,Basic,47.76,Anual,1,13,15,3,10,0.7,0,4,0
C00570,13,Pro,150.48,Anual,8,19,1,5,5,1.7,0,1,0
C00571,1,Basic,45.67,Mensal,1,12,12,3,9,3.2,1,1,0
C00572,8,Basic,49.57,Mensal,2,4,2,2,1,0.6,0,3,0
C00573,22,Basic,45.22,Mensal,1,12,9,2,2,1.5,0,6,0
C00574,10,Basic,46.48,Mensal,2,8,15,2,2,3.0,0,3,0
C00575,27,Basic,44.05,Bienal,1,14,2,0,4,0.4,1,2,1
C00576,26,Pro,147.7,Anual,23,17,8,3,9,2.7,0,4,0
C00577,8,Basic,52.94,Mensal,1,12,8,5,4,0.5,0,5,0
C00578,15,Basic,48.71,Mensal,1,12,5,3,6,0.2,1,4,0
C00579,35,Pro,153.79,Mensal,16,7,11,4,5,4.5,0,4,0
C00580,3,Basic,54.76,Mensal,5,8,16,2,10,0.5,0,3,0
C00581,10,Basic,49.99,Mensal,2,9,19,1,10,0.3,0,2,1
C00582,3,Pro,143.3,Anual,14,12,18,1,9,0.1,0,3,0
C00583,6,Enterprise,483.34,Anual,121,14,19,1,1,8.5,0,7,0
C00584,42,Basic,49.0,Anual,4,10,4,3,9,0.5,0,3,0
C00585,10,Basic,47.45,Anual,3,10,3,1,8,2.0,0,7,0
C00586,2,Pro,144.84,Mensal,11,8,4,2,3,2.5,0,2,0
C00587,5,Pro,156.34,Anual,17,15,19,0,2,1.9,0,2,0
C00588,3,Basic,51.51,Mensal,1,6,5,4,10,0.6,0,2,1
C00589,15,Basic,44.97,Mensal,2,5,15,3,8,0.4,0,2,1
C00590,18,Basic,47.0,Mensal,4,10,8,3,2,1.4,0,2,0
C00591,24,Pro,145.54,Mensal,22,3,13,2,2,1.6,1,5,0
C00592,21,Enterprise,513.95,Mensal,93,8,15,3,6,5.1,1,7,0
C00593,4,Pro,157.52,Mensal,3,5,18,0,5,0.0,0,2,0
C00594,17,Basic,55.62,Mensal,1,1,2,2,9,0.1,0,2,1
C00595,12,Pro,145.53,Bienal,10,21,7,2,7,1.0,0,2,0
C00596,27,Pro,145.9,Mensal,13,7,3,1,8,1.6,0,1,1
C00597,23,Basic,50.44,Mensal,1,7,8,2,4,2.7,0,0,0
C00598,46,Pro,143.92,Bienal,13,19,7,4,10,1.3,0,0,0
C00599,6,Basic,48.65,Mensal,5,7,17,0,10,2.7,0,0,0
C00600,5,Basic,47.98,Mensal,3,5,14,2,10,0.4,0,1,1
C00601,9,Pro,129.47,Bienal,16,14,2,4,7,0.1,0,5,0
C00602,12,Basic,49.3,Mensal,1,7,9,1,4,0.6,0,1,0
C00603,8,Enterprise,494.45,Mensal,27,6,14,2,1,4.0,1,2,0
C00604,6,Basic,52.11,Mensal,1,11,15,1,6,0.2,1,3,0
C00605,17,Basic,49.01,Mensal,1,11,16,3,4,3.5,0,0,0
C00606,9,Basic,45.93,Anual,3,12,5,3,1,3.0,0,3,0
C00607,7,Basic,48.37,Mensal,3,10,17,2,3,2.1,0,7,0
C00608,4,Basic,43.88,Anual,1,14,18,1,8,0.1,1,0,0
C00609,1,Pro,139.98,Anual,15,6,5,0,3,2.2,0,2,0
C00610,32,Basic,50.56,Bienal,4,20,13,5,1,0.5,1,0,0
C00611,32,Basic,48.39,Mensal,5,10,13,1,2,1.2,0,1,0
C00612,23,Pro,155.87,Mensal,19,10,17,2,1,1.4,1,6,0
C00613,20,Basic,44.18,Bienal,2,19,2,0,2,0.2,0,4,0
C00614,8,Pro,147.19,Anual,19,12,5,1,4,11.4,0,2,0
C00615,20,Basic,47.83,Mensal,4,12,17,4,9,2.4,0,6,0
C00616,5,Basic,51.34,Mensal,1,9,1,3,4,0.3,0,7,0
C00617,14,Pro,154.01,Anual,23,12,10,0,10,0.5,0,6,0
C00618,7,Pro,153.78,Mensal,11,13,6,2,9,3.4,1,4,0
C00619,20,Pro,160.48,Mensal,11,8,12,3,1,7.4,0,2,1
C00620,37,Basic,48.1,Anual,2,21,9,3,6,2.1,1,4,0
C00621,5,Basic,52.27,Mensal,3,8,17,2,8,1.6,0,5,0
C00622,9,Pro,141.22,Mensal,8,8,2,0,7,0.2,0,3,0
C00623,14,Pro,140.95,Anual,13,19,10,1,2,1.0,0,4,0
C00624,2,Pro,154.61,Anual,18,20,10,1,7,1.6,0,6,0
C00625,3,Pro,137.79,Mensal,16,9,10,0,5,1.2,0,4,0
C00626,36,Pro,153.27,Anual,17,17,2,5,2,3.3,0,6,0
C00627,17,Basic,49.25,Mensal,2,12,9,4,2,1.1,0,3,0
C00628,8,Pro,156.99,Mensal,19,4,17,3,4,6.3,0,6,1
C00629,13,Basic,48.85,Bienal,4,15,12,4,2,1.8,0,1,0
C00630,9,Basic,49.14,Mensal,4,12,3,2,5,1.4,0,5,0
C00631,14,Pro,152.79,Mensal,17,6,14,1,4,0.1,0,6,1
C00632,9,Basic,47.38,Anual,4,11,18,3,1,2.3,1,3,0
C00633,12,Basic,47.27,Mensal,4,5,16,3,7,1.6,0,4,0
C00634,21,Pro,152.53,Mensal,31,5,2,0,0,2.4,0,4,0
C00635,20,Pro,148.78,Anual,22,17,1,1,5,1.5,1,3,0
C00636,35,Basic,48.0,Mensal,2,6,4,2,0,3.8,1,3,0
C00637,18,Enterprise,496.93,Anual,50,9,7,2,8,0.1,0,5,0
C00638,14,Basic,52.91,Mensal,2,10,18,0,3,2.0,0,5,0
C00639,38,Pro,145.7,Mensal,13,8,9,2,1,2.8,1,3,0
C00640,11,Basic,47.84,Anual,3,18,19,0,2,0.7,1,7,0
C00641,1,Basic,44.82,Mensal,2,9,2,2,6,0.2,1,6,0
C00642,23,Basic,48.9,Anual,4,14,15,4,8,4.7,0,5,0
C00643,16,Basic,50.61,Bienal,1,15,15,2,1,1.1,0,1,0
C00644,13,Basic,51.05,Anual,1,14,19,1,3,4.2,0,3,0
C00645,24,Basic,49.27,Mensal,2,9,10,5,1,1.1,0,0,0
C00646,9,Pro,156.12,Mensal,9,9,12,1,2,1.1,0,7,0
C00647,1,Basic,50.79,Anual,1,19,1,0,3,2.9,0,4,0
C00648,24,Basic,51.73,Mensal,2,10,17,1,6,0.9,1,2,0
C00649,8,Enterprise,523.56,Anual,55,16,12,2,1,0.8,0,2,0
C00650,6,Pro,160.7,Anual,15,16,14,5,6,7.9,0,5,1
C00651,1,Enterprise,494.77,Mensal,60,9,7,1,8,0.0,0,0,0
C00652,23,Basic,45.75,Mensal,2,6,2,3,10,0.6,1,2,0
C00653,1,Basic,50.63,Anual,2,15,14,2,5,1.9,1,0,0
C00654,31,Pro,154.82,Mensal,21,6,14,3,5,2.6,0,5,1
C00655,10,Pro,160.7,Mensal,23,7,4,4,7,2.9,0,6,0
C00656,23,Basic,52.14,Mensal,3,5,16,3,10,1.3,1,5,0
C00657,18,Pro,163.49,Anual,16,17,1,0,0,1.1,0,7,0
C00658,43,Pro,153.62,Mensal,13,7,13,2,1,0.1,0,3,0
C00659,18,Pro,150.7,Mensal,17,8,2,4,2,0.2,0,4,0
C00660,30,Basic,45.61,Anual,3,14,15,4,2,4.9,0,6,0
C00661,8,Pro,151.3,Anual,22,18,9,2,5,1.5,0,6,0
C00662,3,Basic,47.65,Bienal,1,15,7,1,0,0.3,0,3,0
C00663,26,Enterprise,504.28,Mensal,72,3,15,0,0,5.4,0,6,0
C00664,3,Basic,49.13,Anual,3,10,16,0,7,0.5,1,6,0
C00665,23,Basic,50.16,Anual,2,12,12,1,1,2.0,0,6,0
C00666,5,Basic,48.76,Anual,1,14,14,5,3,2.4,0,3,1
C00667,16,Pro,155.97,Mensal,7,8,1,2,0,8.8,0,2,1
C00668,43,Enterprise,431.06,Mensal,105,12,16,0,8,0.5,0,6,0
C00669,21,Pro,150.42,Mensal,10,11,12,1,10,0.8,0,0,0
C00670,11,Pro,157.96,Mensal,4,9,3,1,7,1.1,1,7,0
C00671,18,Enterprise,545.66,Mensal,107,9,10,0,4,2.1,1,5,0
C00672,9,Pro,154.45,Bienal,17,15,12,2,4,1.5,0,6,1
C00673,54,Basic,53.13,Mensal,2,9,16,1,0,0.8,0,7,0
C00674,7,Pro,150.26,Bienal,9,18,10,4,2,2.4,0,5,0
C00675,12,Basic,49.01,Mensal,2,6,5,3,5,2.1,0,7,0
C00676,20,Basic,50.3,Anual,4,16,5,5,0,1.4,0,5,0
C00677,17,Basic,48.99,Mensal,1,7,14,4,9,0.9,0,0,0
C00678,19,Basic,47.08,Anual,1,14,17,2,6,0.3,1,3,0
C00679,9,Enterprise,486.14,Mensal,59,10,13,2,2,0.6,0,7,0
C00680,11,Enterprise,471.25,Bienal,79,12,16,2,9,0.9,0,1,0
C00681,25,Basic,50.29,Mensal,2,7,12,4,2,0.6,1,0,1
C00682,24,Pro,149.08,Mensal,18,6,10,3,7,4.0,1,3,1
C00683,18,Basic,48.12,Bienal,4,15,8,2,10,0.8,0,4,0
C00684,32,Basic,47.61,Mensal,3,9,10,2,4,4.2,1,3,0
C00685,26,Basic,50.24,Anual,3,20,1,1,9,1.6,0,6,0
C00686,24,Basic,50.91,Mensal,3,12,11,3,10,0.7,0,1,0
C00687,3,Basic,46.23,Mensal,3,5,4,3,6,0.1,0,3,1
C00688,17,Basic,45.85,Mensal,1,3,18,0,7,0.1,0,4,0
C00689,15,Basic,51.34,Mensal,1,8,17,3,2,0.2,0,5,1
C00690,35,Basic,45.63,Mensal,1,6,10,3,9,3.1,1,6,0
C00691,12,Enterprise,512.66,Mensal,75,7,12,5,2,0.4,0,1,1
C00692,14,Basic,52.96,Anual,3,12,1,2,3,4.0,0,7,0
C00693,5,Basic,52.97,Bienal,1,20,11,2,9,3.4,0,7,0
C00694,6,Basic,50.81,Mensal,3,12,17,0,2,0.8,0,7,0
C00695,35,Basic,50.74,Mensal,1,5,10,4,7,0.0,0,0,0
C00696,19,Basic,54.52,Mensal,1,7,17,0,4,0.1,1,2,0
C00697,43,Basic,43.28,Anual,2,15,2,0,3,2.3,1,5,0
C00698,12,Pro,145.54,Mensal,8,14,19,2,10,3.1,0,2,1
C00699,3,Pro,155.32,Anual,18,18,7,0,0,2.1,0,0,1
C00700,10,Pro,146.49,Mensal,13,14,1,2,8,0.6,0,2,0
C00701,9,Pro,158.24,Anual,19,19,12,3,1,8.5,0,0,0
C00702,22,Basic,48.9,Anual,2,14,12,2,8,1.2,0,5,0
C00703,21,Basic,49.32,Mensal,2,6,3,1,8,0.5,0,2,0
C00704,19,Basic,48.33,Mensal,5,8,7,2,6,0.7,0,5,0
C00705,52,Basic,47.72,Mensal,1,4,18,2,7,0.1,0,0,0
C00706,31,Basic,47.66,Mensal,4,9,4,2,0,4.5,0,6,1
C00707,6,Basic,49.66,Mensal,4,6,2,3,3,1.8,0,1,1
C00708,26,Pro,143.23,Anual,19,17,16,2,8,0.3,1,1,0
C00709,14,Basic,51.34,Mensal,2,5,13,1,6,0.3,1,1,0
C00710,11,Basic,50.6,Mensal,4,8,10,1,2,1.0,0,0,0
C00711,34,Pro,157.19,Mensal,13,1,6,3,8,3.9,1,7,0
